na,t1,t2,r1,r2,n1,n2,,id,Abbreviation,
2,1,4,1,8,224,227,,ARCHER1050,OSI,5
2,5,6,0,2,279,136,,AURA3,ERL,2
2,1,6,3,0,159,150,,First-SIGNAL,GEF,1
2,6,7,1,1,132,132,,IMPRESS,AFA,3
2,1,6,1,1,607,589,,IPASS,DAC,4
2,3,6,20,1,229,111,,Lux-Lung 3,PBDC,6
2,3,6,13,0,239,113,,LUX-lung 6,GEF+PBDC,7
2,1,3,0,7,159,160,,Lux-Lung 7,,
2,2,6,1,0,83,72,,OPTIMAL,,
2,1,6,0,0,87,88,,WJTOG3405,,
2,1,6,0,0,118,114,,Yang 2014,,
2,6,7,1,3,59,58,,Yu 2014,,
2,1 and 2,5,1,2,277,279,,FLAURA,,
