na,t1,t2,r1,r2,n1,n2,,id,,Abbreviation,
2,1,3,3,1,224,227,,ARCHER1050,,OSI,4
2,4,5,0,0,279,136,,AURA3,,GEF,1
2,1,5,0,0,159,150,,First-SIGNAL,,AFA,2
2,1,5,4,1,607,589,,IPASS,,DAC,3
2,2,5,1,0,229,111,,Lux-Lung 3,,PBDC,5
2,2,5,1,0,239,113,,LUX-lung 6,,,
2,1,2,0,0,159,160,,Lux-Lung 7,,,
2,1,5,0,0,118,114,,Yang 2014,,,
2,1,4,0,1,277,279,,FLAURA,,,
