na,t1,t2,r1,r2,n1,n2,,id,,Abbreviation,
2,1,4,0,3,224,227,,ARCHER1050,,OSI,5
2,5,6,0,0,279,136,,AURA3,,ERL,2
2,1,2,0,0,128,128,,CTONG0901,,GEF,1
2,1,6,0,0,159,150,,First-SIGNAL,,AFA,3
2,1,6,0,0,607,589,,IPASS,,DAC,4
2,3,6,1,0,229,111,,Lux-Lung 3,,PBDC,6
2,1,3,0,0,159,160,,Lux-Lung 7,,GEF+PBDC,7
2,1,6,0,0,87,88,,WJTOG3405,,,
2,1,6,0,0,118,114,,Yang 2014,,,
2,6,7,0,0,59,58,,Yu 2014,,,
2,1 and 2,5,3,1,277,279,,FLAURA,,,
